,year,age,sex,race,cause,mort
620,2000,50,0,3,h,72.5325737194713
621,2000,50,0,3,n,329.90174439105
622,2000,50,0,3,o,129.795131919054
623,2000,50,0,3,t,372.449560362376
624,2000,50,0,3,v,0
625,2000,50,0,4,a,29.6489849441079
626,2000,50,0,4,c,111.364480033966
627,2000,50,0,4,d,24.0084463449849
628,2000,50,0,4,h,70.4344178916124
629,2000,50,0,4,n,317.605711889078
630,2000,50,0,4,o,106.157829019391
631,2000,50,0,4,t,341.614158234063
632,2000,50,0,4,v,0
633,2000,50,0,5,a,31.1504158193246
634,2000,50,0,5,c,170.542966126956
635,2000,50,0,5,d,40.4042315672299
636,2000,50,0,5,h,123.290559717823
637,2000,50,0,5,n,480.835524155865
638,2000,50,0,5,o,155.851582491762
639,2000,50,0,5,t,521.239755723095
640,2000,50,0,5,v,0
641,2000,50,1,1,a,42.3120101450551
642,2000,50,1,1,c,174.270192056603
643,2000,50,1,1,d,59.2675307258685
644,2000,50,1,1,h,175.114896433364
645,2000,50,1,1,n,549.764324919199
646,2000,50,1,1,o,158.067226284177
647,2000,50,1,1,t,609.031855645067
648,2000,50,1,1,v,0
649,2000,50,1,2,a,82.1670381335343
650,2000,50,1,2,c,304.358377938417
651,2000,50,1,2,d,78.5205719441763
652,2000,50,1,2,h,330.369836755838
653,2000,50,1,2,n,1188.2617822388
654,2000,50,1,2,o,471.366529411015
655,2000,50,1,2,t,1266.78235418298
656,2000,50,1,2,v,0
657,2000,50,1,3,a,44.7887536261018
658,2000,50,1,3,c,100.30361653483
659,2000,50,1,3,d,72.0388691008822
660,2000,50,1,3,h,111.319620662933
661,2000,50,1,3,n,428.174686768624
662,2000,50,1,3,o,171.762695944759
663,2000,50,1,3,t,500.213555869506
664,2000,50,1,3,v,0
665,2000,50,1,4,a,34.1085914645561
666,2000,50,1,4,c,93.6119006618473
667,2000,50,1,4,d,29.627170688191
668,2000,50,1,4,h,90.8732546318465
669,2000,50,1,4,n,323.160231540101
670,2000,50,1,4,o,104.566484781851
671,2000,50,1,4,t,352.787402228292
672,2000,50,1,4,v,0
673,2000,50,1,5,a,46.0154464885007
674,2000,50,1,5,c,177.071046211489
675,2000,50,1,5,d,60.780268627189
676,2000,50,1,5,h,181.035234792133
677,2000,50,1,5,n,591.352490545024
678,2000,50,1,5,o,187.230763052901
679,2000,50,1,5,t,652.132759172213
680,2000,50,1,5,v,0
681,2000,50,2,1,a,15.9836442529144
682,2000,50,2,1,c,163.521518898607
683,2000,50,2,1,d,20.7322995745394
684,2000,50,2,1,h,57.5980432544103
685,2000,50,2,1,n,343.341261740204
686,2000,50,2,1,o,106.238055334272
687,2000,50,2,1,t,364.073561314743
688,2000,50,2,1,v,0
689,2000,50,2,2,a,22.7936095200269
690,2000,50,2,2,c,229.632363815712
691,2000,50,2,2,d,24.9139452893317
692,2000,50,2,2,h,166.128307525033
693,2000,50,2,2,n,711.266633813303
694,2000,50,2,2,o,292.712352952531
695,2000,50,2,2,t,736.180579102635
696,2000,50,2,2,v,0
697,2000,50,2,3,a,12.6527205568974
